Pos,Pts,Team name,Best,2nd best,Provenance,Official
177,0,Alain Térieur,94 (0) Mars Attaque,,,178 (1)
178,0,Laurie-Ann,98 (0) Mars Attaque,,,179 (1)
179,0,Fous du Nord,108 (0) Mars Attaque,,,180 (1)
180,0,Cobra Kai,34 (0) Mars Attaque,,,181 (1)
181,0,Discobols,40 (0) Mars Attaque,,,182 (1)
182,0,Benchwarmers,114 (0) Mars Attaque,38 (0) Oktober Disk,,134 (-48)
183,0,Disco pimp,87 (0) Mars Attaque,,,183 (0)
184,0,Bisons,77 (0) Mars Attaque,,,184 (0)
185,0,Free Runners,89 (0) Mars Attaque,,,185 (0)
186,0,Funners Gonna Fun,36 (0) Mars Attaque,,,186 (0)
187,0,Jolies,46 (0) Mars Attaque,,,187 (0)
188,0,Cold Fx,63 (0) Mars Attaque,,,188 (0)
189,0,Disc Catchers,106 (0) Mars Attaque,,,189 (0)
